id,customer_message,historical_reply,labeled_intent,should_escalate,reply_quality_1to5,notes
0,"Anyone else’s iPhone keep going into a black screen with the loading wheel every 40 sec, starting to get me hot no lie",@245911 We just released iOS 11.2 that should resolve the issue: __url__ Be sure and back up before updating. Let us know how it goes.,device_issue,False,3.0,nothing
1,Thanks guys. I’ll have a look 👀,@511232 Of course! You're very welcome.,out_of_scope,True,1.0,fragment of multi-turn thread
2,Found that link and tried all of that before tweeting.,@262084 Send us a DM and we can start looking into it from there. __url__,out_of_scope,False,1.0,The reply does not solve the user's problem.
3,I updated about five days ago and I have updated my apps too.,@347509 DM us using the link below. We'll work together from there. __url__,software_update,False,1.0,This reply doesn't solve the problem
4,Yes completely up to date with 11.0.3 and it’s an iPhone 7 Plus 128gb,"@360571 We'd like to gather more information. Please meet us in DM, so we can gather this securely. __url__",out_of_scope,True,1.0,Fragment of a multi-turn conversation.
5,why doesn’t work with music part of control centre or show up on my lock screen since latest update?,@508441 Let's take a look at this for you. Reach out to us in DM. __url__,software_update,False,3.0,software bug after update 
6,"Hi, can you help me to solve this little problem __url__","@547598 We're happy to help. Let's start by closing the tab, powering the device off and then on again. DM us any questions you have. __url__",general_inquiry,False,1.0,General Help Request
7,"Dear , Me thinks it’s stupid that me has to type like this in order for people to understand what I’m saying. Fix this soon?? Thnx bye",@622809 Here’s what you can do to work around the issue until it’s fixed in a future software update: __url__,software_update,False,4.0,Complaint About Typing Issue
8,just tried that and didn’t work,"@174561 Thanks for trying that step. Going forward, can you DM us which iOS version you're using, and we'll continue from there. __url__",out_of_scope,False,1.0,Tried the solution but it didn't work.
9,las actualizaciones convirtieron mi iPhone 6 en un teléfono de mierda… por favor arreglen o publiquen cómo desinstalarlas.,@734150 We offer support via Twitter in English. Get help in Spanish here: __url__ or join __url__,device_issue,False,3.0,Complaint about update.
10,I just FaceTimed for 7 minutes and my phone went from 100% to 80% plz fix,@123844 We'd be more than happy to help. Could you tell us which model of iPhone and the exact version of iOS you're using?,device_issue,False,4.0,battery drain
11,My iPhone 6 is dying on iOS 11. If you care don’t make new iOS version available for older phones then!!,@291363 We'd like to look into this. Send us a DM to continue. __url__,complaint_escalation,False,2.0,Complaint About Ios update
12,They just contact me,@377474 We want to help. Send us a DM to let us know which country you are located in. __url__,out_of_scope,True,1.0,Fragment
13,got my battery changed and now the base plate isn't on my MacBook properly?! 😦 __url__,"@132623 That doesn't look good, and we'll do all we can to help. To get started, let us know what country you're in via DM here: __url__",warranty_repair,False,3.0,Repair issue after battery replacement.
14,Is one of the new #emojis a pic of my battery actively draining? #apple #iPhoneUpdate #ThanksApple,"@331802 We want to help look into your battery life. To start, can you tell us which iPhone you have? Let us know in DM. __url__",device_issue,True,2.0,battery draining
15,Yep. Through iphone.,@148419 Is the iPhone activated and we're through all the set up screens? Please send us a DM so we can continue there. __url__,out_of_scope,False,1.0,Fragment
16,I did and it’s not applicable. I am not changing settings as pre-update they were perfect for me,@444208 Let's meet in DM to continue working on this. __url__,software_update,False,1.0,Settings issue after update
17,"And a lot of other applications (snapchat, email...) are now really slow (only since iOS 11.0.3) :s",@444556 Let's look further into this in DM here: __url__,software_update,False,1.0,Apps are slow after update
18,For specific apps like WhatsApp...and my internet connection is working perfectly,@289656 Send us a DM with the country that you are located in to continue. __url__,device_issue,False,1.0,Specific apps are slow
19,Will this appear later today? I’m still showing it’s up to date,@304002 Which version of iOS are you updated to on your iPhone under Settings &gt; General &gt; About?,software_update,False,3.0,Update not showing
20,DID the restart. Not sure why it says don’t.,"@553960 Perfect, thanks for letting us know. Send us a DM with the link below. We'd like to take a look at some additional details. __url__",software_update,False,2.0,Restart already done
21,your latest iPhone update sucks...literally!! Battery drain is unreal... 😡😡,@609885 Battery life is affected by many things. Let's dig into what's happening with your iPhone further. DM us the iPhone model. __url__,complaint_escalation,True,2.0,Battery drain after update
22,This is happening sometimes when searching on Apple’s email app and WhatsApp __url__,@310145 We are here to help. DM us your current iOS version and we can take a look at this for you. __url__,device_issue,False,2.0,Search issue in apps.
23,can you guys please fix this update immediately. All of a sudden my phone doesn’t auto lock. Last 2 updates SUCKED!,@571384 We'd be delighted to take a look into what's happening together. Thanks for reaching out. Let's meet up in DM &amp; get started. __url__,software_update,True,2.0,Software update problem
24,The 10th loop of trying to install new software from WARNING don’t update any of your devices they won’t work and apple is unhelpful. __url__,@739575 We'll help out. Try doing a safe boot as described in the article below and installing from there. Let us know how that goes. __url__,complaint_escalation,True,3.0,Complaint about software update 
25,effing fix this I️ plz,"@664802 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: __url__ Let us know if you have questions in DM. __url__",complaint_escalation,True,5.0,Angry complaint asking for a fix.
26,wtf goin on wit the keyboard... why every time I type “I️” it try and change it to “A wit a question mark inside a box”,@583857 You're reaching out to the right handle. We'd like to explore what's happening together. Please join us in DM to get started. __url__,software_update,False,4.0,Autocorrect issue after update.
27,I did the new update and I’m still seeing boxes with question marks. 😤 is anyone else or just me 😫,"@711883 We'd love to help! Are you seeing this when you type, or when you read what others type?",device_issue,False,4.0,Autocorrect issue still happening after update.
28,I am interested in an absolute silent feature that disables the sound on videos so that it doesn’t suddenly play outloud when clicking on it,@479138 We've received your DM and will respond to you there shortly. __url__,general_inquiry,False,3.0,Asking for a silent video feature.
